method,profit,regret,mse
Oracle,0.44555058465365593,0.0,0.0
LinearDML,0.3774188762536884,0.06813170839996752,0.45312468444223264
policyCATE logistic σ=0.25,0.44494603652080333,0.0006045481328526003,3.5960486203567026
policyCATE logistic σ=0.75,0.4323545122725044,0.013196072381151558,0.7105533322027693
policyCATE logistic σ=2.0,0.4020097697266956,0.043540814926960325,0.47743574190460114
policyCATE uniform (OLS special case),0.39586501666950585,0.04968556798415008,0.46768831907427166
Oracle,0.4436502001024644,0.0,0.0
LinearDML,0.3728983108323875,0.07075188927007692,0.44912355606840115
policyCATE logistic σ=0.25,0.4379896209536476,0.005660579148816847,0.9472005652481978
policyCATE logistic σ=0.75,0.409316087786879,0.03433411231558542,0.49383927523534804
policyCATE logistic σ=2.0,0.37632745257717465,0.06732274752528977,0.44950907380246125
policyCATE uniform (OLS special case),0.369762297271104,0.07388790283136043,0.4497813732716348
Oracle,0.4412535557302766,0.0,0.0
LinearDML,0.37509452836775076,0.06615902736252582,0.4462148276450071
policyCATE logistic σ=0.25,0.4412086768281856,4.487890209098344e-05,3.2276947484486787
policyCATE logistic σ=0.75,0.4076534502512705,0.033600105479006104,0.4729288582038112
policyCATE logistic σ=2.0,0.37421674308401875,0.06703681264625783,0.4510981537975452
policyCATE uniform (OLS special case),0.3670401611778457,0.07421339455243087,0.45122720710823944
Oracle,0.44150756744907343,0.0,0.0
LinearDML,0.3687319846650024,0.07277558278407104,0.45372966220115774
policyCATE logistic σ=0.25,0.441327070660665,0.0001804967884084241,1.96089473942096
policyCATE logistic σ=0.75,0.4150921394236905,0.026415428025382937,0.5266363462992237
policyCATE logistic σ=2.0,0.38658033419573856,0.05492723325333487,0.4601265936701288
policyCATE uniform (OLS special case),0.37941061974506446,0.062096947704008976,0.45719076376242473
Oracle,0.4485836244316687,0.0,0.0
LinearDML,0.37771042877889627,0.07087319565277245,0.4538594098550111
policyCATE logistic σ=0.25,0.44856469537067306,1.8929060995653835e-05,2.7161416408805263
policyCATE logistic σ=0.75,0.40488963022228447,0.043693994209384246,0.4652333991270023
policyCATE logistic σ=2.0,0.3765742338241796,0.07200939060748912,0.45734398172107016
policyCATE uniform (OLS special case),0.370922916453587,0.07766070797808172,0.4576049286872601
Oracle,0.44475657062094587,0.0,0.0
LinearDML,0.3636357678742702,0.08112080274667566,0.4576125924997439
policyCATE logistic σ=0.25,0.44052417340197836,0.00423239721896751,0.6711264466546975
policyCATE logistic σ=0.75,0.3717402369246862,0.07301633369625965,0.45674713773101205
policyCATE logistic σ=2.0,0.3484618589928141,0.09629471162813175,0.46395506395577135
policyCATE uniform (OLS special case),0.34375165669581026,0.10100491392513561,0.4679604338881678
Oracle,0.44877748395073924,0.0,0.0
LinearDML,0.3809042139628988,0.06787326998784043,0.4485005821758363
policyCATE logistic σ=0.25,0.4478418997045352,0.0009355842462040465,2.1179354997139406
policyCATE logistic σ=0.75,0.41710581292535037,0.03167167102538887,0.4823057869803555
policyCATE logistic σ=2.0,0.38115213785053337,0.06762534610020587,0.45391212648388596
policyCATE uniform (OLS special case),0.3736235329613343,0.07515395098940492,0.4550231833340675
Oracle,0.4455945355497028,0.0,0.0
LinearDML,0.37226709244023726,0.07332744310946554,0.45025846526622626
policyCATE logistic σ=0.25,0.4453208824473396,0.00027365310236321383,2.700610939461774
policyCATE logistic σ=0.75,0.42016709079566456,0.025427444754038242,0.5359014470839021
policyCATE logistic σ=2.0,0.39483564861639414,0.050758886933308656,0.4661590807122044
policyCATE uniform (OLS special case),0.3885317216673704,0.05706281388233242,0.4616659965010995
Oracle,0.4475442700205934,0.0,0.0
LinearDML,0.38191834402056074,0.06562592600003264,0.4497628295443639
policyCATE logistic σ=0.25,0.44753101649157795,1.3253529015433418e-05,2.846328755077805
policyCATE logistic σ=0.75,0.40840224309763756,0.03914202692295582,0.46582743578230595
policyCATE logistic σ=2.0,0.374708232950558,0.07283603707003539,0.4538411507394856
policyCATE uniform (OLS special case),0.36801072808601265,0.07953354193458073,0.45461598444799567
Oracle,0.447417981668741,0.0,0.0
LinearDML,0.38607351226218506,0.06134446940655597,0.45074423316860107
policyCATE logistic σ=0.25,0.4462811098074471,0.0011368718612939088,2.5312211384354466
policyCATE logistic σ=0.75,0.4319958663515168,0.015422115317224205,0.5371485496153137
policyCATE logistic σ=2.0,0.4008116233499023,0.04660635831883875,0.47102081508004023
policyCATE uniform (OLS special case),0.3942380832980556,0.05317989837068543,0.4699022259097411
Oracle,0.44300767577932093,0.0,0.0
LinearDML,0.3724220777421127,0.07058559803720821,0.4528218610455641
policyCATE logistic σ=0.25,0.43931663543596006,0.003691040343360874,1.6307328251501736
policyCATE logistic σ=0.75,0.40913960362957463,0.0338680721497463,0.5042535430230433
policyCATE logistic σ=2.0,0.3789842657738432,0.06402341000547773,0.45673074118901763
policyCATE uniform (OLS special case),0.37292282751351374,0.07008484826580719,0.45628621219739524
Oracle,0.44359886549482586,0.0,0.0
LinearDML,0.37580538673149366,0.0677934787633322,0.45124002420401266
policyCATE logistic σ=0.25,0.44331053841694534,0.0002883270778805125,2.0927826032041383
policyCATE logistic σ=0.75,0.40209807106755857,0.041500794427267285,0.47137463765988386
policyCATE logistic σ=2.0,0.3753338782384515,0.06826498725637437,0.4514806923948352
policyCATE uniform (OLS special case),0.3698097464367135,0.07378911905811236,0.45193899513550057
Oracle,0.4463582061099088,0.0,0.0
LinearDML,0.3761348575097871,0.0702233486001217,0.4448844850098577
policyCATE logistic σ=0.25,0.44618130914111703,0.00017689696879175099,1.5736490580215683
policyCATE logistic σ=0.75,0.41522672232576807,0.031131483784140712,0.483915831162493
policyCATE logistic σ=2.0,0.38181475268964943,0.06454345342025936,0.44641050397661225
policyCATE uniform (OLS special case),0.37424617236883656,0.07211203374107222,0.44654740660819103
Oracle,0.4422780984313366,0.0,0.0
LinearDML,0.37622847607989784,0.06604962235143874,0.4464846132558636
policyCATE logistic σ=0.25,0.43925363002522516,0.0030244684061114246,1.377013066102026
policyCATE logistic σ=0.75,0.42564274049564343,0.01663535793569315,0.6902007721833017
policyCATE logistic σ=2.0,0.40444548240628564,0.03783261602505095,0.4998843781298493
policyCATE uniform (OLS special case),0.39864842145355744,0.04362967697777914,0.48561052226222823
Oracle,0.44110398249835187,0.0,0.0
LinearDML,0.3770107205222784,0.06409326197607346,0.45162050744326526
policyCATE logistic σ=0.25,0.43804565763300063,0.0030583248653512363,12.302426481910857
policyCATE logistic σ=0.75,0.42296982303166525,0.018134159466686617,0.5639962609201932
policyCATE logistic σ=2.0,0.39919462075410833,0.041909361744243534,0.4692223077465677
policyCATE uniform (OLS special case),0.393681274836965,0.04742270766138684,0.4626109920595269
Oracle,0.4477141230339225,0.0,0.0
LinearDML,0.3755086019348499,0.07220552109907258,0.4475766913898418
policyCATE logistic σ=0.25,0.43127394098892535,0.016440182044997143,1.1747148243883894
policyCATE logistic σ=0.75,0.4050446291255939,0.04266949390832858,0.4877835662012634
policyCATE logistic σ=2.0,0.3724198002084581,0.07529432282546439,0.4546517019143135
policyCATE uniform (OLS special case),0.36615045588920436,0.08156366714471813,0.457041149364075
Oracle,0.4477954117322841,0.0,0.0
LinearDML,0.375689994532497,0.07210541719978708,0.4532377914006379
policyCATE logistic σ=0.25,0.447795069488494,3.422437900857389e-07,1.6110132026208253
policyCATE logistic σ=0.75,0.4163828540011573,0.03141255773112678,0.49071918215125004
policyCATE logistic σ=2.0,0.3904449894365502,0.057350422295733894,0.4543070434735195
policyCATE uniform (OLS special case),0.38440694039623957,0.06338847133604453,0.45267600995177576
Oracle,0.4436820859902143,0.0,0.0
LinearDML,0.3702373845288826,0.0734447014613317,0.4507579948086528
policyCATE logistic σ=0.25,0.4433843591497172,0.0002977268404971145,1.4259593525275394
policyCATE logistic σ=0.75,0.393003432536812,0.05067865345340228,0.45801815940685797
policyCATE logistic σ=2.0,0.3600371418548556,0.08364494413535872,0.45615848206525045
policyCATE uniform (OLS special case),0.3538494828785055,0.08983260311170882,0.4580833589514801
Oracle,0.445822157565806,0.0,0.0
LinearDML,0.3767619266624313,0.06906023090337471,0.4469515461284002
policyCATE logistic σ=0.25,0.44551937271693587,0.00030278484887014123,2.397825750613873
policyCATE logistic σ=0.75,0.3866311468478286,0.05919101071797739,0.4566675081590531
policyCATE logistic σ=2.0,0.35395090403041546,0.09187125353539055,0.4596701494512751
policyCATE uniform (OLS special case),0.347872434548182,0.097949723017624,0.4618205063956303
Oracle,0.4420739976430261,0.0,0.0
LinearDML,0.3759210727194276,0.06615292492359848,0.45104347544070555
policyCATE logistic σ=0.25,0.4415821711661158,0.000491826476910262,1.4935018065854424
policyCATE logistic σ=0.75,0.40559077580083963,0.03648322184218644,0.47620043908444215
policyCATE logistic σ=2.0,0.37476010667457726,0.06731389096844881,0.4531518459123371
policyCATE uniform (OLS special case),0.368687745544683,0.0733862520983431,0.4533195669259037
Oracle,0.4441299453696964,0.0,0.0
LinearDML,0.37929986402728355,0.06483008134241286,0.4490746208523777
policyCATE logistic σ=0.25,0.4417638509544444,0.0023660944152519847,4.6194364085863935
policyCATE logistic σ=0.75,0.40083528360048215,0.04329466176921426,0.47481496255314487
policyCATE logistic σ=2.0,0.36267371837108053,0.08145622699861588,0.47928677980489665
policyCATE uniform (OLS special case),0.3556680786458112,0.08846186672388523,0.48016418795115506
Oracle,0.44367817566151135,0.0,0.0
LinearDML,0.37709414115729517,0.06658403450421618,0.4527856263210706
policyCATE logistic σ=0.25,0.44237599178098447,0.001302183880526886,1.5143119342150568
policyCATE logistic σ=0.75,0.4306563773626806,0.013021798298830767,0.6508060084940075
policyCATE logistic σ=2.0,0.4084772118493542,0.03520096381215715,0.4874404863425199
policyCATE uniform (OLS special case),0.4025336416531935,0.04114453400831786,0.4757936037590069
Oracle,0.44828720836815517,0.0,0.0
LinearDML,0.3790532034839272,0.06923400488422798,0.45069345161688956
policyCATE logistic σ=0.25,0.44798676292320566,0.0003004454449495042,2.88705174113571
policyCATE logistic σ=0.75,0.4358765240079872,0.012410684360167956,0.6907234775675036
policyCATE logistic σ=2.0,0.41305046786581856,0.035236740502336605,0.4918830607337162
policyCATE uniform (OLS special case),0.40729285461542347,0.040994353752731694,0.4787046261411484
Oracle,0.44617483707822236,0.0,0.0
LinearDML,0.37982241443970527,0.0663524226385171,0.45112759745813436
policyCATE logistic σ=0.25,0.4452535738790399,0.0009212631991824538,3.5332286774994572
policyCATE logistic σ=0.75,0.41405813422103177,0.03211670285719059,0.48059312582656843
policyCATE logistic σ=2.0,0.3821468019927467,0.06402803508547567,0.45676616002169435
policyCATE uniform (OLS special case),0.37441201363373183,0.07176282344449053,0.45644388510529016
Oracle,0.44643470700493126,0.0,0.0
LinearDML,0.38308536566751356,0.06334934133741771,0.4497158195198971
policyCATE logistic σ=0.25,0.4464037783456071,3.0928659324136465e-05,3.7267314913222505
policyCATE logistic σ=0.75,0.43248358178276414,0.013951125222167127,0.5945111792584796
policyCATE logistic σ=2.0,0.4103002315340807,0.03613447547085058,0.47576028407845183
policyCATE uniform (OLS special case),0.40596440382652144,0.04047030317840983,0.4672001108201963
